Country,Contributor,Fund,Fund focus,Measure Names,Measure Values
Private Sector Investors,"Private Sector Investors (24 investors from North America, Europe and Australasia)",Global Energy Efficiency and Renewable Energy Fund (GEEREF),Mitigation - General,Pledged (USD million current),112
Qatar,Qatar,Adaptation Fund (AF),Adaptation,Deposited (USD million current),0.5
Qatar,Qatar,Adaptation Fund (AF),Adaptation,Pledged (USD million current),0.5
Qatar,Qatar,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),0.5
Qatar,Qatar,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),0.5
Qatar,Qatar Fund for Development,Adaptation for Smallholder Agriculture Programme (ASAP+),Multiple Foci,Deposited (USD million current),0.5
Qatar,Qatar Fund for Development,Adaptation for Smallholder Agriculture Programme (ASAP+),Multiple Foci,Pledged (USD million current),0.5
Regional,Corporacion Andina de Fomento (CAF),Adaptation Fund (AF),Adaptation,Deposited (USD million current),0.06
Regional,Corporacion Andina de Fomento (CAF),Adaptation Fund (AF),Adaptation,Pledged (USD million current),0.06
Romania,Romania,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),0.06
Romania,Romania,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),0.06
Romania,Romania,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),0.05
Romania,Romania,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),0.05
Romania,Romania,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),0.21
Romania,Romania,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),0.214005
Russian Federation,Russian Federation,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),3.51
Russian Federation,Russian Federation,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),3.51
Russian Federation,Russian Federation,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),0.64
Russian Federation,Russian Federation,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),4.83953382
Russian Federation,Russian Federation,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),10
Russian Federation,Russian Federation,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),10.46
Russian Federation,Russian Federation,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),3
Russian Federation,Russian Federation,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),3
Sale of CERs,Sale of CERs,Adaptation Fund (AF),Adaptation,Deposited (USD million current),215.12
Sale of CERs,Sale of CERs,Adaptation Fund (AF),Adaptation,Pledged (USD million current),215.12
Slovak Republic,Slovak Republic,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),2.25
Slovak Republic,Slovak Republic,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),2.32
Slovak Republic,Slovak Republic,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
Slovak Republic,Slovak Republic,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),2.46
Slovak Republic,Slovak Republic,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),2
Slovak Republic,Slovak Republic,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),2
Slovenia,Slovenia,Adaptation Fund (AF),Adaptation,Deposited (USD million current),0.04
Slovenia,Slovenia,Adaptation Fund (AF),Adaptation,Pledged (USD million current),0.04
Slovenia,Slovenia,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),2.12
Slovenia,Slovenia,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),2.12
Slovenia,Slovenia,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),2.13
Slovenia,Slovenia,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),2.13
Slovenia,Slovenia,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),1.666
Slovenia,Slovenia,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),1.666
Slovenia,Slovenia,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),1.12
Slovenia,Slovenia,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),1.12
Slovenia,Slovenia,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),1.13
Slovenia,Slovenia,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),1.13
Slovenia,Slovenia,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),1.13
Slovenia,Slovenia,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),1.19
Slovenia,Slovenia,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
Slovenia,Slovenia,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),1.7
Slovenia,Slovenia,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),0.13
Slovenia,Slovenia,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),0.13
Slovenia,Slovenia,Special Climate Change Fund (SCCF),Adaptation,Deposited (USD million current),0.08
Slovenia,Slovenia,Special Climate Change Fund (SCCF),Adaptation,Pledged (USD million current),0.08
South Africa,South Africa,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),1.94
South Africa,South Africa,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),1.94
South Africa,South Africa,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),2.15
South Africa,South Africa,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),2.15
South Africa,South Africa,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),1.768
South Africa,South Africa,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),1.768
South Africa,South Africa,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),1.42
South Africa,South Africa,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),1.42
South Africa,South Africa,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),1.05
South Africa,South Africa,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),1.05
Spain,Spain,Adaptation Fund (AF),Adaptation,Deposited (USD million current),111.27
Spain,Spain,Adaptation Fund (AF),Adaptation,Pledged (USD million current),111.27
Spain,Spain,Clean Technology Fund (CTF),Mitigation - General,Deposited (USD million current),105.57
Spain,Spain,Clean Technology Fund (CTF),Mitigation - General,Pledged (USD million current),105.57
Spain,Spain,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Deposited (USD million current),7.05
Spain,Spain,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Pledged (USD million current),7.05
Spain,Spain,Forest Investment Program (FIP),Mitigation - REDD,Deposited (USD million current),12.96
Spain,Spain,Forest Investment Program (FIP),Mitigation - REDD,Pledged (USD million current),12.96
Spain,Spain,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),8.77
Spain,Spain,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),8.77
Spain,Spain,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),13.7
Spain,Spain,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),13.7
Spain,Spain,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),10.68
Spain,Spain,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),10.68
Spain,Spain,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),2.36
Spain,Spain,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),2.36
Spain,Spain,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),5.72
Spain,Spain,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),5.72
Spain,Spain,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),168.93
Spain,Spain,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),176.49
Spain,Spain,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
Spain,Spain,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),252.81
Spain,Spain,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),160.526
Spain,Spain,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),160.526
Spain,Spain,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),1.773184
Spain,Spain,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),12.643184
Spain,Spain,MDG Achievement Fund,Adaptation,Deposited (USD million current),89.5
Spain,Spain,MDG Achievement Fund,Adaptation,Pledged (USD million current),89.5
Spain,Spain,Partnership for Market Readiness,Mitigation - General,Deposited (USD million current),5.4
Spain,Spain,Partnership for Market Readiness,Mitigation - General,Pledged (USD million current),5.4
Spain,Spain,Pilot Program for Climate Resilience (PPCR),Adaptation,Deposited (USD million current),12.96
Spain,Spain,Pilot Program for Climate Resilience (PPCR),Adaptation,Pledged (USD million current),12.96
Spain,Spain,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Deposited (USD million current),3.89
Spain,Spain,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Pledged (USD million current),3.89
Spain,Spain,Special Climate Change Fund (SCCF),Adaptation,Deposited (USD million current),12.35
Spain,Spain,Special Climate Change Fund (SCCF),Adaptation,Pledged (USD million current),14.55
Sweden,Sweden,Adaptation for Smallholder Agriculture Programme (ASAP),Adaptation,Deposited (USD million current),10.38
Sweden,Sweden,Adaptation for Smallholder Agriculture Programme (ASAP),Adaptation,Pledged (USD million current),10.64
Sweden,Sweden,Adaptation for Smallholder Agriculture Programme (ASAP+),Multiple Foci,Deposited (USD million current),11.02
Sweden,Sweden,Adaptation for Smallholder Agriculture Programme (ASAP+),Multiple Foci,Pledged (USD million current),35.47
Sweden,Sweden,Adaptation Fund (AF),Adaptation,Deposited (USD million current),173.74
Sweden,Sweden,Adaptation Fund (AF),Adaptation,Pledged (USD million current),195.14
Sweden,Sweden,Central African Forest Initiative (CAFI),Mitigation - REDD,Deposited (USD million current),3.66
Sweden,Sweden,Central African Forest Initiative (CAFI),Mitigation - REDD,Pledged (USD million current),3.66
Sweden,Sweden,Clean Technology Fund (CTF),Mitigation - General,Deposited (USD million current),79.61
Sweden,Sweden,Clean Technology Fund (CTF),Mitigation - General,Pledged (USD million current),79.61
Sweden,Sweden,Forest Investment Program (FIP),Mitigation - REDD,Deposited (USD million current),14.53
Sweden,Sweden,Forest Investment Program (FIP),Mitigation - REDD,Pledged (USD million current),14.53
Sweden,Sweden,Global Climate Change Alliance (GCCA),Multiple Foci,Deposited (USD million current),5.718732
Sweden,Sweden,Global Climate Change Alliance (GCCA),Multiple Foci,Pledged (USD million current),5.718732
Sweden,Sweden,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),36.89
Sweden,Sweden,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),36.89
Sweden,Sweden,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),42.15
Sweden,Sweden,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),42.15
Sweden,Sweden,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),52.496
Sweden,Sweden,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),52.496
Sweden,Sweden,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),49.75
Sweden,Sweden,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),49.75
Sweden,Sweden,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),75.48
Sweden,Sweden,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),75.48
Sweden,Sweden,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),852.55
Sweden,Sweden,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),852.55
Sweden,Sweden,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),581.19
Sweden,Sweden,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),581.19
Sweden,Sweden,Indonesia Climate Change Trust Fund (ICCTF),Multiple Foci,Deposited (USD million current),1.4
Sweden,Sweden,Indonesia Climate Change Trust Fund (ICCTF),Multiple Foci,Pledged (USD million current),1.4
Sweden,Sweden,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),186.8
Sweden,Sweden,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),196.4
Sweden,Sweden,Partnership for Market Readiness,Mitigation - General,Deposited (USD million current),7.6
Sweden,Sweden,Partnership for Market Readiness,Mitigation - General,Pledged (USD million current),7.6
Sweden,Sweden,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Deposited (USD million current),46.71
Sweden,Sweden,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Pledged (USD million current),46.71
Sweden,Sweden,Special Climate Change Fund (SCCF),Adaptation,Deposited (USD million current),6.12
Sweden,Sweden,Special Climate Change Fund (SCCF),Adaptation,Pledged (USD million current),6.12
Switzerland,Switzerland,Adaptation for Smallholder Agriculture Programme (ASAP),Adaptation,Deposited (USD million current),10.95
Switzerland,Switzerland,Adaptation for Smallholder Agriculture Programme (ASAP),Adaptation,Pledged (USD million current),11.84
Switzerland,Switzerland,Adaptation Fund (AF),Adaptation,Deposited (USD million current),35.99
Switzerland,Switzerland,Adaptation Fund (AF),Adaptation,Pledged (USD million current),44.21
Switzerland,Switzerland,Amazon Fund,Mitigation - REDD,Deposited (USD million current),0
Switzerland,Switzerland,Amazon Fund,Mitigation - REDD,Pledged (USD million current),5.5
Switzerland,Switzerland,BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL),Mitigation - REDD,Deposited (USD million current),10.09
Switzerland,Switzerland,BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL),Mitigation - REDD,Pledged (USD million current),10.09
Switzerland,Switzerland,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Deposited (USD million current),10.8
Switzerland,Switzerland,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Pledged (USD million current),10.8
Switzerland,Switzerland,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Deposited (USD million current),8.21
Switzerland,Switzerland,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Pledged (USD million current),8.21
Switzerland,Switzerland,Forest Investment Program (FIP),Mitigation - REDD,Deposited (USD million current),0.7
Switzerland,Switzerland,Forest Investment Program (FIP),Mitigation - REDD,Pledged (USD million current),0.7
Switzerland,Switzerland,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),22.99
Switzerland,Switzerland,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),22.99
Switzerland,Switzerland,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),37.21
Switzerland,Switzerland,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),37.21
Switzerland,Switzerland,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),43.7513411
Switzerland,Switzerland,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),43.7513411
Switzerland,Switzerland,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),24.03
Switzerland,Switzerland,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),24.03
Switzerland,Switzerland,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),27.02
Switzerland,Switzerland,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),27.02
Switzerland,Switzerland,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),150
Switzerland,Switzerland,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),155.45
Switzerland,Switzerland,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
Switzerland,Switzerland,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),147.99
Switzerland,Switzerland,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),100
Switzerland,Switzerland,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),100
Switzerland,Switzerland,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),28.21
Switzerland,Switzerland,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),45.65
Switzerland,Switzerland,Partnership for Market Readiness,Mitigation - General,Deposited (USD million current),12.5
Switzerland,Switzerland,Partnership for Market Readiness,Mitigation - General,Pledged (USD million current),12.5
Switzerland,Switzerland,Pilot Program for Climate Resilience (PPCR),Adaptation,Deposited (USD million current),1
Switzerland,Switzerland,Pilot Program for Climate Resilience (PPCR),Adaptation,Pledged (USD million current),1
Switzerland,Switzerland,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Deposited (USD million current),44
Switzerland,Switzerland,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Pledged (USD million current),44
Switzerland,Switzerland,Special Climate Change Fund (SCCF),Adaptation,Deposited (USD million current),17.09
Switzerland,Switzerland,Special Climate Change Fund (SCCF),Adaptation,Pledged (USD million current),27.66
Turkey,Turkey,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),1.94
Turkey,Turkey,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),1.94
UNFCCC Secretariat,UNFCCC Secretariat,Adaptation Fund (AF),Adaptation,Deposited (USD million current),20
UNFCCC Secretariat,UNFCCC Secretariat,Adaptation Fund (AF),Adaptation,Pledged (USD million current),20
United Kingdom,BP Technology Ventures,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Deposited (USD million current),5
United Kingdom,BP Technology Ventures,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Pledged (USD million current),5
United Kingdom,United Kingdom,Adaptation for Smallholder Agriculture Programme (ASAP),Adaptation,Deposited (USD million current),202.84
United Kingdom,United Kingdom,Adaptation for Smallholder Agriculture Programme (ASAP),Adaptation,Pledged (USD million current),239.18
United Kingdom,United Kingdom,Adaptation Fund (AF),Adaptation,Deposited (USD million current),33.14
United Kingdom,United Kingdom,Adaptation Fund (AF),Adaptation,Pledged (USD million current),33.14
United Kingdom,United Kingdom,BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL),Mitigation - REDD,Deposited (USD million current),29.46
United Kingdom,United Kingdom,BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL),Mitigation - REDD,Pledged (USD million current),146.41
United Kingdom,United Kingdom,Central African Forest Initiative (CAFI),Mitigation - REDD,Deposited (USD million current),22.48
United Kingdom,United Kingdom,Central African Forest Initiative (CAFI),Mitigation - REDD,Pledged (USD million current),42.79
United Kingdom,United Kingdom,Clean Technology Fund (CTF),Mitigation - General,Deposited (USD million current),2039.09
United Kingdom,United Kingdom,Clean Technology Fund (CTF),Mitigation - General,Pledged (USD million current),2039.09
United Kingdom,United Kingdom,Congo Basin Forest Fund (CBFF),Mitigation - REDD,Deposited (USD million current),61.1325
United Kingdom,United Kingdom,Congo Basin Forest Fund (CBFF),Mitigation - REDD,Pledged (USD million current),82.5
United Kingdom,United Kingdom,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Deposited (USD million current),181.58
United Kingdom,United Kingdom,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Pledged (USD million current),181.58
United Kingdom,United Kingdom,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Deposited (USD million current),5.77
United Kingdom,United Kingdom,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Pledged (USD million current),5.77
United Kingdom,United Kingdom,Forest Investment Program (FIP),Mitigation - REDD,Deposited (USD million current),310
United Kingdom,United Kingdom,Forest Investment Program (FIP),Mitigation - REDD,Pledged (USD million current),310
United Kingdom,United Kingdom,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),83.22
United Kingdom,United Kingdom,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),83.22
United Kingdom,United Kingdom,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),105.81
United Kingdom,United Kingdom,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),105.81
United Kingdom,United Kingdom,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),105.672
United Kingdom,United Kingdom,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),105.672
United Kingdom,United Kingdom,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),66.38
United Kingdom,United Kingdom,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),66.38
United Kingdom,United Kingdom,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),71.98
United Kingdom,United Kingdom,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),71.98
United Kingdom,United Kingdom,Green Climate Fund (GCF-1),Multiple Foci,Deposited (USD million current),1851.88
United Kingdom,United Kingdom,Green Climate Fund (GCF-1),Multiple Foci,Pledged (USD million current),1851.88
United Kingdom,United Kingdom,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
United Kingdom,United Kingdom,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),2000
United Kingdom,United Kingdom,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),1210.98
United Kingdom,United Kingdom,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),1210.98
United Kingdom,United Kingdom,Indonesia Climate Change Trust Fund (ICCTF),Multiple Foci,Deposited (USD million current),11.33
United Kingdom,United Kingdom,Indonesia Climate Change Trust Fund (ICCTF),Multiple Foci,Pledged (USD million current),14.09
United Kingdom,United Kingdom,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),186.84
United Kingdom,United Kingdom,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),186.84
United Kingdom,United Kingdom,Partnership for Market Readiness,Mitigation - General,Deposited (USD million current),11.1
United Kingdom,United Kingdom,Partnership for Market Readiness,Mitigation - General,Pledged (USD million current),11.1
United Kingdom,United Kingdom,Pilot Program for Climate Resilience (PPCR),Adaptation,Deposited (USD million current),518.1
United Kingdom,United Kingdom,Pilot Program for Climate Resilience (PPCR),Adaptation,Pledged (USD million current),518.1
United Kingdom,United Kingdom,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Deposited (USD million current),355.8
United Kingdom,United Kingdom,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Pledged (USD million current),355.8
United Kingdom,United Kingdom,Special Climate Change Fund (SCCF),Adaptation,Deposited (USD million current),21.66
United Kingdom,United Kingdom,Special Climate Change Fund (SCCF),Adaptation,Pledged (USD million current),23.56
United Nations Fund,United Nations Fund,Adaptation Fund (AF),Adaptation,Deposited (USD million current),0.067
United Nations Fund,United Nations Fund,Adaptation Fund (AF),Adaptation,Pledged (USD million current),0.067
United States,United States,Adaptation Fund (AF),Adaptation,Deposited (USD million current),25
United States,United States,Adaptation Fund (AF),Adaptation,Pledged (USD million current),100
United States,United States,Amazon Fund,Mitigation - REDD,Deposited (USD million current),0
United States,United States,Amazon Fund,Mitigation - REDD,Pledged (USD million current),500
United States,United States,BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL),Mitigation - REDD,Deposited (USD million current),43.43
United States,United States,BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL),Mitigation - REDD,Pledged (USD million current),43.43
United States,United States,Clean Technology Fund (CTF),Mitigation - General,Deposited (USD million current),2442.8
United States,United States,Clean Technology Fund (CTF),Mitigation - General,Pledged (USD million current),2442.8
United States,United States,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Deposited (USD million current),18.5
United States,United States,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Pledged (USD million current),18.5
United States,United States,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Deposited (USD million current),9
United States,United States,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Pledged (USD million current),9
United States,United States,Forest Investment Program (FIP),Mitigation - REDD,Deposited (USD million current),167.95
United States,United States,Forest Investment Program (FIP),Mitigation - REDD,Pledged (USD million current),167.95
United States,United States,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),105.64
United States,United States,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),105.64
United States,United States,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),185.15
United States,United States,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),185.15
United States,United States,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),221.88
United States,United States,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),221.88
United States,United States,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),80.72
United States,United States,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),80.72
United States,United States,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),117.98
United States,United States,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),117.98
United States,United States,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
United States,United States,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),3000
United States,United States,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),1000
United States,United States,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),3000
United States,United States,Indonesia Climate Change Trust Fund (ICCTF),Multiple Foci,Deposited (USD million current),1.3
United States,United States,Indonesia Climate Change Trust Fund (ICCTF),Multiple Foci,Pledged (USD million current),5
United States,United States,Least Developed Countries Fund (LDCF),Adaptation,Deposited (USD million current),158.2
United States,United States,Least Developed Countries Fund (LDCF),Adaptation,Pledged (USD million current),183.2
United States,United States,Partnership for Market Readiness,Mitigation - General,Deposited (USD million current),7.5
United States,United States,Partnership for Market Readiness,Mitigation - General,Pledged (USD million current),7.5
United States,United States,Pilot Program for Climate Resilience (PPCR),Adaptation,Deposited (USD million current),290.04
United States,United States,Pilot Program for Climate Resilience (PPCR),Adaptation,Pledged (USD million current),290.04
United States,United States,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Deposited (USD million current),50
United States,United States,Scaling Up Renewable Energy Program (SREP),Mitigation - General,Pledged (USD million current),50
United States,United States,Special Climate Change Fund (SCCF),Adaptation,Deposited (USD million current),50
United States,United States,Special Climate Change Fund (SCCF),Adaptation,Pledged (USD million current),50
Vietnam,Vietnam,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),1
Vietnam,Vietnam,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),1
